traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
均,均,均,均,jun1,jūn,equal/even/all/uniform,equal/even/all/uniform
城,城,城,城,cheng2,chéng,"city walls/city/town/CL:座[zuo4],道[dao4],個|个[ge4]","city walls/city/town/CL:座[zuò],道[dào],個|个[gè]"
基,基,基,基,ji1,jī,base/foundation/basic/radical (chemistry)/(slang) gay,base/foundation/basic/radical (chemistry)/(slang) gay
堂,堂,堂,堂,tang2,táng,"(main) hall/large room for a specific purpose/CL:間|间[jian1]/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for classes, lectures etc/classifier for sets of furniture","(main) hall/large room for a specific purpose/CL:間|间[jiān]/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for classes, lectures etc/classifier for sets of furniture"
堦,阶,堦,阶,jie1,jiē,variant of 階|阶[jie1],variant of 階|阶[jiē]
塞,塞,塞,塞,Sai1,Sāi,Serbia/Serbian/abbr. for 塞爾維亞|塞尔维亚[Sai1 er3 wei2 ya4],Serbia/Serbian/abbr. for 塞爾維亞|塞尔维亚[Sāi ěr wéi yà]
塞,塞,塞,塞,sai1,sāi,to stop up/to squeeze in/to stuff/cork/stopper,to stop up/to squeeze in/to stuff/cork/stopper
塞,塞,塞,塞,sai4,sài,strategic pass/tactical border position,strategic pass/tactical border position
塞,塞,塞,塞,se4,sè,to stop up/to stuff/to cope with,to stop up/to stuff/to cope with
增,增,增,增,zeng1,zēng,to increase/to expand/to add,to increase/to expand/to add
墻,墙,墻,墙,qiang2,qiáng,"variant of 牆|墙[qiang2], wall","variant of 牆|墙[qiáng], wall"
士,士,士,士,Shi4,Shì,surname Shi,surname Shi
士,士,士,士,shi4,shì,member of the senior ministerial class (old)/scholar (old)/bachelor/honorific/soldier/noncommissioned officer/specialist worker,member of the senior ministerial class (old)/scholar (old)/bachelor/honorific/soldier/noncommissioned officer/specialist worker
壯,壮,壯,壮,Zhuang4,Zhuàng,"Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group","Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group"
壯,壮,壯,壮,zhuang4,zhuàng,to strengthen/strong/robust,to strengthen/strong/robust
多,多,多,多,duo1,duō,"many/much/often/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. [duo2] when it means ""how""","many/much/often/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. [duó] when it means ""how"""
