traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
華,华,華,华,Hua2,Huá,abbr. for China,abbr. for China
華,华,華,华,Hua4,Huà,Mt Hua 華山|华山 in Shaanxi/surname Hua,Mt Hua 華山|华山 in Shaanxi/surname Hua
華,华,華,华,hua1,huā,old variant of 花[hua1]/flower,old variant of 花[huā]/flower
華,华,華,华,hua2,huá,magnificent/splendid/flowery,magnificent/splendid/flowery
菲,菲,菲,菲,Fei1,Fēi,abbr. for the Philippines 菲律賓|菲律宾[Fei1 lu:4 bin1],abbr. for the Philippines 菲律賓|菲律宾[Fēi lu:4 bīn]
菲,菲,菲,菲,fei1,fēi,luxuriant (plant growth)/rich with fragrance/phenanthrene C14H10,luxuriant (plant growth)/rich with fragrance/phenanthrene C14H10
菲,菲,菲,菲,fei3,fěi,poor/humble/unworthy/radish (old),poor/humble/unworthy/radish (old)
萌,萌,萌,萌,meng2,méng,"to sprout/to bud/to have a strong affection for (slang)/adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character)","to sprout/to bud/to have a strong affection for (slang)/adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character)"
葑,葑,葑,葑,feng1,fēng,turnip,turnip
葩,葩,葩,葩,pa1,pā,corolla of flower,corolla of flower
葳,葳,葳,葳,wei1,wēi,luxuriant,luxuriant
蒙,蒙,蒙,蒙,Meng2,Méng,surname Meng,surname Meng
蒙,蒙,蒙,蒙,Meng3,Měng,Mongol ethnic group/abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2]/Taiwan pr. [Meng2],Mongol ethnic group/abbr. for Mongolia 蒙古國|蒙古国[Měng gǔ guó]/Taiwan pr. [Méng]
蒙,蒙,蒙,蒙,meng1,mēng,(knocked) unconscious/dazed/stunned,(knocked) unconscious/dazed/stunned
蒙,蒙,蒙,蒙,meng2,méng,to cover/ignorant/to suffer (misfortune)/to receive (a favor)/to cheat,to cover/ignorant/to suffer (misfortune)/to receive (a favor)/to cheat
蒼,苍,蒼,苍,Cang1,Cāng,surname Cang,surname Cang
蒼,苍,蒼,苍,cang1,cāng,dark blue/deep green/ash-gray,dark blue/deep green/ash-gray
蕤,蕤,蕤,蕤,rui2,ruí,fringe/overladen with flowers,fringe/overladen with flowers
薄,薄,薄,薄,Bo2,Bó,surname Bo,surname Bo
薄,薄,薄,薄,bao2,báo,thin/cold in manner/indifferent/weak/light/infertile,thin/cold in manner/indifferent/weak/light/infertile
薄,薄,薄,薄,bo2,bó,meager/slight/weak/ungenerous or unkind/frivolous/to despise/to belittle/to look down on/to approach or near,meager/slight/weak/ungenerous or unkind/frivolous/to despise/to belittle/to look down on/to approach or near
薄,薄,薄,薄,bo4,bò,see 薄荷[bo4 he5],see 薄荷[bò he]
藏,藏,藏,藏,Zang4,Zàng,Tibet/Xizang 西藏,Tibet/Xizang 西藏
藏,藏,藏,藏,cang2,cáng,to conceal/to hide away/to harbor/to store/to collect,to conceal/to hide away/to harbor/to store/to collect
藏,藏,藏,藏,zang4,zàng,storehouse/depository/Buddhist or Taoist scripture,storehouse/depository/Buddhist or Taoist scripture
藻,藻,藻,藻,zao3,zǎo,aquatic grasses/elegant,aquatic grasses/elegant
蘇,苏,蘇,苏,Su1,Sū,surname Su/abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联/abbr. for Jiangsu province 江蘇|江苏/abbr. for Suzhou city 蘇州|苏州,surname Su/abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联/abbr. for Jiangsu province 江蘇|江苏/abbr. for Suzhou city 蘇州|苏州
蘇,苏,蘇,苏,su1,sū,Perilla frutescens (Chinese basil or wild red basil)/place name/to revive/used as phonetic in transliteration,Perilla frutescens (Chinese basil or wild red basil)/place name/to revive/used as phonetic in transliteration
蘓,苏,蘓,苏,su1,sū,old variant of 蘇|苏[su1],old variant of 蘇|苏[sū]
蘭,兰,蘭,兰,Lan2,Lán,"surname Lan/abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu","surname Lan/abbr. for Lanzhou 蘭州|兰州[Lán zhōu], Gansu"
蘭,兰,蘭,兰,lan2,lán,orchid (蘭花|兰花 Cymbidium goeringii)/fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei)/lily magnolia (木蘭|木兰),orchid (蘭花|兰花 Cymbidium goeringii)/fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei)/lily magnolia (木蘭|木兰)
虎,虎,虎,虎,hu3,hǔ,tiger/CL:隻|只[zhi1],tiger/CL:隻|只[zhī]
處,处,處,处,chu3,chǔ,to reside/to live/to dwell/to be in/to be situated at/to stay/to get along with/to be in a position of/to deal with/to discipline/to punish,to reside/to live/to dwell/to be in/to be situated at/to stay/to get along with/to be in a position of/to deal with/to discipline/to punish
處,处,處,处,chu4,chù,"place/location/spot/point/office/department/bureau/respect/classifier for locations or items of damage: spot, point","place/location/spot/point/office/department/bureau/respect/classifier for locations or items of damage: spot, point"
虞,虞,虞,虞,Yu2,Yú,surname Yu,surname Yu
虞,虞,虞,虞,yu2,yú,to expect/to anticipate/to worry/to cheat,to expect/to anticipate/to worry/to cheat
虧,亏,虧,亏,kui1,kuī,deficiency/deficit/luckily/it's lucky that.../(often ironically) fancy that...,deficiency/deficit/luckily/it's lucky that.../(often ironically) fancy that...
行,行,行,行,hang2,háng,"row/line/commercial firm/line of business/profession/to rank (first, second etc) among one's siblings (by age)/(in data tables) row/(Tw) column","row/line/commercial firm/line of business/profession/to rank (first, second etc) among one's siblings (by age)/(in data tables) row/(Tw) column"
行,行,行,行,xing2,xíng,to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense,to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xìng] for the behavior-conduct sense
衕,同,衕,同,tong4,tòng,see 衚衕|胡同[hu2 tong4],see 衚衕|胡同[hú tòng]
衛,卫,衛,卫,Wei4,Wèi,"surname Wei/vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces","surname Wei/vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces"
衛,卫,衛,卫,wei4,wèi,"to guard/to protect/to defend/abbr. for 衛生|卫生, hygiene/health/abbr. for 衛生間|卫生间, toilet","to guard/to protect/to defend/abbr. for 衛生|卫生, hygiene/health/abbr. for 衛生間|卫生间, toilet"
衣,衣,衣,衣,yi1,yī,clothes/CL:件[jian4],clothes/CL:件[jiàn]
衣,衣,衣,衣,yi4,yì,to dress/to wear/to put on (clothes),to dress/to wear/to put on (clothes)
衰,衰,衰,衰,cui1,cuī,mourning garments,mourning garments
衰,衰,衰,衰,shuai1,shuāi,to decline/to wane/to become weak or feeble,to decline/to wane/to become weak or feeble
衹,只,衹,只,zhi3,zhǐ,variant of 只[zhi3],variant of 只[zhǐ]
衾,衾,衾,衾,qin1,qīn,coverlet/quilt,coverlet/quilt
袞,衮,袞,衮,gun3,gǔn,imperial robe,imperial robe
西,西,西,西,Xi1,Xī,the West/abbr. for Spain 西班牙[Xi1 ban1 ya2]/Spanish,the West/abbr. for Spain 西班牙[Xī bān yá]/Spanish
西,西,西,西,xi1,xī,west,west
親,亲,親,亲,qin1,qīn,parent/one's own (flesh and blood)/relative/related/marriage/bride/close/intimate/in person/first-hand/in favor of/pro-/to kiss/(Internet slang) dear,parent/one's own (flesh and blood)/relative/related/marriage/bride/close/intimate/in person/first-hand/in favor of/pro-/to kiss/(Internet slang) dear
親,亲,親,亲,qing4,qìng,parents-in-law of one's offspring,parents-in-law of one's offspring
觀,观,觀,观,Guan4,Guàn,surname Guan,surname Guan
觀,观,觀,观,guan1,guān,to look at/to watch/to observe/to behold/to advise/concept/point of view/outlook,to look at/to watch/to observe/to behold/to advise/concept/point of view/outlook
觀,观,觀,观,guan4,guàn,Taoist monastery/palace gate watchtower/platform,Taoist monastery/palace gate watchtower/platform
記,记,記,记,ji4,jì,"to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots","to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots"
詠,咏,詠,咏,yong3,yǒng,to sing,to sing
詧,察,詧,察,cha2,chá,variant of 察[cha2],variant of 察[chá]
詩,诗,詩,诗,Shi1,Shī,"abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs","abbr. for Shijing 詩經|诗经[Shī jīng], the Book of Songs"
詩,诗,詩,诗,shi1,shī,poem/CL:首[shou3]/poetry/verse,poem/CL:首[shǒu]/poetry/verse
誌,志,誌,志,zhi4,zhì,sign/mark/to record/to write a footnote,sign/mark/to record/to write a footnote
誓,誓,誓,誓,shi4,shì,oath/vow/to swear/to pledge,oath/vow/to swear/to pledge
誠,诚,誠,诚,cheng2,chéng,sincere/authentic/really/truly,sincere/authentic/really/truly
誰,谁,誰,谁,shei2,shéi,who/also pr. [shui2],who/also pr. [shuí]
諐,愆,諐,愆,qian1,qiān,old variant of 愆[qian1],old variant of 愆[qiān]
謌,歌,謌,歌,ge1,gē,variant of 歌[ge1],variant of 歌[gē]
謙,谦,謙,谦,qian1,qiān,modest,modest
識,识,識,识,shi2,shí,to know/knowledge/Taiwan pr. [shi4],to know/knowledge/Taiwan pr. [shì]
識,识,識,识,zhi4,zhì,to record/to write a footnote,to record/to write a footnote
讒,谗,讒,谗,chan2,chán,to slander/to defame/to misrepresent/to speak maliciously,to slander/to defame/to misrepresent/to speak maliciously
讙,欢,讙,欢,huan1,huān,hubbub/clamor/variant of 歡|欢[huan1],hubbub/clamor/variant of 歡|欢[huān]
貞,贞,貞,贞,zhen1,zhēn,chaste,chaste
貲,赀,貲,赀,zi1,zī,to estimate/to fine (archaic)/variant of 資|资[zi1],to estimate/to fine (archaic)/variant of 資|资[zī]
貴,贵,貴,贵,gui4,guì,expensive/noble/precious/(honorific) your,expensive/noble/precious/(honorific) your
賢,贤,賢,贤,xian2,xián,worthy or virtuous person/honorific used for a person of the same or a younger generation,worthy or virtuous person/honorific used for a person of the same or a younger generation
賤,贱,賤,贱,jian4,jiàn,inexpensive/lowly,inexpensive/lowly
趙,赵,趙,赵,Zhao4,Zhào,"surname Zhao/one of the seven states during the Warring States Period (476-220 BC)/the Former Zhao 前趙 (304-329) and Later Zhao 後趙 (319-350), states of the Sixteen Kingdoms","surname Zhao/one of the seven states during the Warring States Period (476-220 BC)/the Former Zhao 前趙 (304-329) and Later Zhao 後趙 (319-350), states of the Sixteen Kingdoms"
趙,赵,趙,赵,zhao4,zhào,to surpass (old),to surpass (old)
路,路,路,路,Lu4,Lù,surname Lu,surname Lu
路,路,路,路,lu4,lù,road/CL:條|条[tiao2]/journey/route/line (bus etc)/sort/kind,road/CL:條|条[tiáo]/journey/route/line (bus etc)/sort/kind
身,身,身,身,shen1,shēn,"body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158","body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158"
輕,轻,輕,轻,qing1,qīng,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage
輝,辉,輝,辉,hui1,huī,splendor/to shine upon,splendor/to shine upon
輦,辇,輦,辇,nian3,niǎn,handcart/emperor's carriage/to transport by carriage,handcart/emperor's carriage/to transport by carriage
辛,辛,辛,辛,Xin1,Xīn,surname Xin,surname Xin
辛,辛,辛,辛,xin1,xīn,"(of taste) hot or pungent/hard/laborious/suffering/eighth in order/eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/letter ""H"" or roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 285°/octa","(of taste) hot or pungent/hard/laborious/suffering/eighth in order/eighth of the ten Heavenly Stems 十天干[shí tiān gān]/letter ""H"" or roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 285°/octa"
辜,辜,辜,辜,Gu1,Gū,surname Gu,surname Gu
辜,辜,辜,辜,gu1,gū,crime/sin,crime/sin
辠,罪,辠,罪,zui4,zuì,"variant of 罪[zui4], crime","variant of 罪[zuì], crime"
辤,辞,辤,辞,ci2,cí,old variant of 辭|辞[ci2],old variant of 辭|辞[cí]
辭,辞,辭,辞,ci2,cí,to resign/to dismiss/to decline/to take leave/ballad (archaic poetic genre)/variant of 詞|词[ci2],to resign/to dismiss/to decline/to take leave/ballad (archaic poetic genre)/variant of 詞|词[cí]
迤,迤,迤,迤,yi2,yí,winding,winding
迤,迤,迤,迤,yi3,yǐ,extending to,extending to
追,追,追,追,dui1,duī,to sculpt/to carve/musical instrument (old),to sculpt/to carve/musical instrument (old)
追,追,追,追,zhui1,zhuī,to chase after/to seek/to do one's utmost to seek or procure sth/to recall,to chase after/to seek/to do one's utmost to seek or procure sth/to recall
退,退,退,退,tui4,tuì,to retreat/to decline/to move back/to withdraw,to retreat/to decline/to move back/to withdraw
通,通,通,通,tong1,tōng,"to go through/to know well/(suffix) expert/to connect/to communicate/open/to clear/classifier for letters, telegrams, phone calls etc","to go through/to know well/(suffix) expert/to connect/to communicate/open/to clear/classifier for letters, telegrams, phone calls etc"
通,通,通,通,tong4,tòng,"classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)","classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"
逝,逝,逝,逝,shi4,shì,(of time) to pass/to die,(of time) to pass/to die
週,周,週,周,zhou1,zhōu,week/weekly/variant of 周[zhou1],week/weekly/variant of 周[zhōu]
逶,逶,逶,逶,wei1,wēi,"winding, curving/swagger","winding, curving/swagger"
遊,游,遊,游,you2,yóu,to walk/to tour/to roam/to travel,to walk/to tour/to roam/to travel
遐,遐,遐,遐,xia2,xiá,distant/long-lasting/to abandon,distant/long-lasting/to abandon
達,达,達,达,Da2,Dá,surname Da,surname Da
達,达,達,达,da2,dá,to attain/to reach/to amount to/to communicate/eminent,to attain/to reach/to amount to/to communicate/eminent
遠,远,遠,远,yuan3,yuǎn,far/distant/remote/(intensifier in a comparison) by far/much (lower etc),far/distant/remote/(intensifier in a comparison) by far/much (lower etc)
遠,远,遠,远,yuan4,yuàn,to distance oneself from (classical),to distance oneself from (classical)
遺,遗,遺,遗,yi2,yí,to lose/to leave behind/to omit/to bequeath/sth lost/involuntary discharge (of urine etc),to lose/to leave behind/to omit/to bequeath/sth lost/involuntary discharge (of urine etc)
邵,邵,邵,邵,Shao4,Shào,surname Shao/place name,surname Shao/place name
鄉,乡,鄉,乡,xiang1,xiāng,country or countryside/native place/home village or town/township (PRC administrative unit),country or countryside/native place/home village or town/township (PRC administrative unit)
鄙,鄙,鄙,鄙,bi3,bǐ,rustic/low/base/mean/to despise/to scorn,rustic/low/base/mean/to despise/to scorn
鄭,郑,鄭,郑,Zheng4,Zhèng,Zheng state during the Warring States period/surname Zheng/abbr. for 鄭州|郑州[Zheng4 zhou1],Zheng state during the Warring States period/surname Zheng/abbr. for 鄭州|郑州[Zhèng zhōu]
配,配,配,配,pei4,pèi,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)/to allocate,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)/to allocate
采,采,采,采,cai3,cǎi,color/complexion/looks/variant of 彩[cai3]/variant of 採|采[cai3],color/complexion/looks/variant of 彩[cǎi]/variant of 採|采[cǎi]
采,采,采,采,cai4,cài,allotment to a feudal noble,allotment to a feudal noble
重,重,重,重,chong2,chóng,to repeat/repetition/again/re-/classifier: layer,to repeat/repetition/again/re-/classifier: layer
重,重,重,重,zhong4,zhòng,heavy/serious/to attach importance to,heavy/serious/to attach importance to
鏡,镜,鏡,镜,jing4,jìng,mirror/lens,mirror/lens
長,长,長,长,chang2,cháng,length/long/forever/always/constantly,length/long/forever/always/constantly
長,长,長,长,zhang3,zhǎng,chief/head/elder/to grow/to develop/to increase/to enhance,chief/head/elder/to grow/to develop/to increase/to enhance
闈,闱,闈,闱,wei2,wéi,door to women's room/gate to palace,door to women's room/gate to palace
防,防,防,防,fang2,fáng,to protect/to defend/to guard against/to prevent,to protect/to defend/to guard against/to prevent
陰,阴,陰,阴,Yin1,Yīn,surname Yin,surname Yin
陰,阴,陰,阴,yin1,yīn,overcast (weather)/cloudy/shady/Yin (the negative principle of Yin and Yang)/negative (electric.)/feminine/moon/implicit/hidden/genitalia,overcast (weather)/cloudy/shady/Yin (the negative principle of Yin and Yang)/negative (electric.)/feminine/moon/implicit/hidden/genitalia
陽,阳,陽,阳,yang2,yáng,"positive (electric.)/sun/male principle (Taoism)/Yang, opposite: 陰|阴[yin1] ☯","positive (electric.)/sun/male principle (Taoism)/Yang, opposite: 陰|阴[yīn] ☯"
隂,阴,隂,阴,yin1,yīn,variant of 陰|阴[yin1],variant of 陰|阴[yīn]
階,阶,階,阶,jie1,jiē,rank or step/stairs,rank or step/stairs
隔,隔,隔,隔,ge2,gé,to separate/to partition/to stand or lie between/at a distance from/after or at an interval of,to separate/to partition/to stand or lie between/at a distance from/after or at an interval of
隻,只,隻,只,zhi1,zhī,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc","classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
雁,雁,雁,雁,yan4,yàn,wild goose,wild goose
